timestamp,model_id,block,total_blocks,layer,rank,cost_per_rank,binary_bits,pre_quant_loss,post_quant_loss,quant_jump,normalized_jump,final_tuned_loss,residual_jump,normalized_residual_jump,utility_per_bit
2026-07-11 14:16:56,google/gemma-3-4b-it,13,34,self_attn.v_proj,608,3600,2188800,5376.494140625,5718.34375,341.849609375,0.06358225275314093,5464.87841796875,88.38427734375,0.01643901677041084,7.51051570285583e-09
2026-07-11 14:18:26,google/gemma-3-4b-it,13,34,self_attn.o_proj,960,4624,4439040,5253.8984375,5632.14404296875,378.24560546875,0.0719933226666508,5390.68505859375,136.78662109375,0.02603526176247102,5.865065816588952e-09
2026-07-11 14:20:15,google/gemma-3-4b-it,13,34,self_attn.q_proj,960,4624,4439040,5196.96240234375,5822.6787109375,625.71630859375,0.12040039164254134,5510.66748046875,313.705078125,0.06036316098487144,1.3598246689570592e-08
2026-07-11 14:22:01,google/gemma-3-4b-it,13,34,self_attn.k_proj,608,3600,2188800,5421.61376953125,5758.85107421875,337.2373046875,0.062202384570942494,5616.59521484375,194.9814453125,0.0359637284397258,1.643079698452385e-08
2026-07-11 14:26:01,google/gemma-3-4b-it,14,34,mlp.gate_proj,1920,12816,24606720,4273.482421875,4807.181640625,533.69921875,0.12488625576604999,4253.638671875,-19.84375,-0.004643461243323311,0.0
2026-07-11 14:28:19,google/gemma-3-4b-it,14,34,mlp.up_proj,1792,12816,22966272,3640.947021484375,5057.80517578125,1416.858154296875,0.3891455014138704,3818.751220703125,177.80419921875,0.048834602143225124,2.126361742263835e-09
2026-07-11 14:30:21,google/gemma-3-4b-it,14,34,mlp.down_proj,1792,12816,22966272,3348.839111328125,3633.57080078125,284.731689453125,0.08502399786539835,3410.406005859375,61.56689453125,0.018384548341838083,8.005020728587592e-10
2026-07-11 14:31:54,google/gemma-3-4b-it,14,34,self_attn.v_proj,640,3600,2304000,3271.932373046875,3679.620361328125,407.68798828125,0.12460159373697706,3458.856201171875,186.923828125,0.05712949010340748,2.4795785635159498e-08
2026-07-11 14:33:28,google/gemma-3-4b-it,14,34,self_attn.o_proj,960,4624,4439040,3255.047119140625,3688.630615234375,433.58349609375,0.13320344690070776,3397.66845703125,142.621337890625,0.04381544495991164,9.8704776167621e-09
2026-07-11 14:35:14,google/gemma-3-4b-it,14,34,self_attn.q_proj,960,4624,4439040,3199.212646484375,3965.355224609375,766.142578125,0.2394784788585143,3498.216796875,299.004150390625,0.09346179308187019,2.1054505722379208e-08
2026-07-11 14:36:59,google/gemma-3-4b-it,14,34,self_attn.k_proj,608,3600,2188800,3425.020751953125,3818.15673828125,393.135986328125,0.11478353411550526,3661.076171875,236.055419921875,0.06892087289902227,3.148797190196558e-08
2026-07-11 14:40:55,google/gemma-3-4b-it,15,34,mlp.gate_proj,1856,12816,23786496,21462.66796875,25772.9296875,4310.26171875,0.20082599819490346,21580.916015625,118.248046875,0.005509475664776211,2.3162199530255366e-10
2026-07-11 14:43:25,google/gemma-3-4b-it,15,34,mlp.up_proj,2112,12816,27067392,19222.45703125,25027.470703125,5805.013671875,0.3019912419332125,20207.470703125,985.013671875,0.0512428598630061,1.8931583753250443e-09
2026-07-11 14:45:26,google/gemma-3-4b-it,15,34,mlp.down_proj,1792,12816,22966272,18201.888671875,21618.65625,3416.767578125,0.18771500253182433,19039.193359375,837.3046875,0.046000978392631175,2.0029797780254093e-09
2026-07-11 14:47:08,google/gemma-3-4b-it,15,34,self_attn.v_proj,768,3600,2764800,18887.8984375,20221.841796875,1333.943359375,0.07062423401888858,19340.8984375,453.0,0.02398361053766652,8.674627653959245e-09
2026-07-11 14:48:41,google/gemma-3-4b-it,15,34,self_attn.o_proj,960,4624,4439040,18694.4609375,20660.171875,1965.7109375,0.10514937788641439,19230.248046875,535.787109375,0.028660206419765882,6.45639742371456e-09
2026-07-11 14:50:27,google/gemma-3-4b-it,15,34,self_attn.q_proj,960,4624,4439040,18503.583984375,20095.623046875,1592.0390625,0.0860394972046695,19116.8984375,613.314453125,0.033145711319650384,7.466864754462763e-09
2026-07-11 14:52:12,google/gemma-3-4b-it,15,34,self_attn.k_proj,608,3600,2188800,18883.04296875,20016.318359375,1133.275390625,0.06001550663738279,19537.17578125,654.1328125,0.03464128178824462,1.5826609004132228e-08
2026-07-11 14:56:07,google/gemma-3-4b-it,16,34,mlp.gate_proj,1792,12816,22966272,25284.109375,27014.904296875,1730.794921875,0.06845386152246069,25680.826171875,396.716796875,0.015690360731759015,6.831914527424831e-10
2026-07-11 14:58:20,google/gemma-3-4b-it,16,34,mlp.up_proj,1792,12816,22966272,24032.521484375,27533.015625,3500.494140625,0.14565654889358504,25317.154296875,1284.6328125,0.053453933801129346,2.32749720116218e-09
2026-07-11 15:00:20,google/gemma-3-4b-it,16,34,mlp.down_proj,1792,12816,22966272,23909.9296875,26646.98828125,2737.05859375,0.11447371989474822,25522.748046875,1612.818359375,0.06745391477324895,2.9370859481786577e-09
2026-07-11 15:01:51,google/gemma-3-4b-it,16,34,self_attn.v_proj,608,3600,2188800,25310.484375,26828.28515625,1517.80078125,0.05996727517191184,26204.630859375,894.146484375,0.035327118640928815,1.6139948209488676e-08
2026-07-11 15:03:24,google/gemma-3-4b-it,16,34,self_attn.o_proj,960,4624,4439040,25577.998046875,27586.6875,2008.689453125,0.07853192612822223,26229.78125,651.783203125,0.025482182066419848,5.740471378140284e-09
2026-07-11 15:05:12,google/gemma-3-4b-it,16,34,self_attn.q_proj,960,4624,4439040,25683.74609375,27035.509765625,1351.763671875,0.05263109465966666,26293.388671875,609.642578125,0.023736513197868483,5.34721768622686e-09
